"Name","Line","Zones","NoteLength","Reasons","Preview"
"Famad","1977","""Aht Urhgan Whitegate"", ""Al Zahbi""","613","very long; wiki markup","Notes: Offers various Assault Missions for an I.D tag. Sells items for accumulated Assault points (stage-specific). Offers Assault Missions: :*Excavation Duty Mercenary Rank PSC and above :*Lebros Supplies Mercenary Rank..."
"Borghertz","4570","""Jeuno""","612","very long","Involved in Quests: * Borghertz's Calling Hands (Summoner) * Borghertz's Chasing Hands (Ranger) * Borghertz's Dragon Hands (Dragoon) * Borghertz's Harmonious Hands (Bard) * Borghertz's Healing Hands (White Mage) * Borghe..."
"Lageegee","2019","""Aht Urhgan Whitegate"", ""Al Zahbi""","612","very long; wiki markup","Notes: Offers various Assault Missions for an I.D tag. Sells items for accumulated Assault points (stage-specific). Offers Assault Missions: :*Seagull Grounded Mercenary Rank PSC and above :*Requiem Mercenary Rank PFC an..."
"Kupofried","5561","""Walk of Echoes""","606","very long","Starts Quests: * Kupofried's H2H Moogle Magic * Kupofried's Axe Moogle Magic * Kupofried's Polearm Moogle Magic * Kupofried's Dagger Moogle Magic * Kupofried's Scythe Moogle Magic * Kupofried's Marksmanship Moogle Magic ..."
"Nolan","1865","""Norg""","602","very long; instruction wording; wiki markup","Notes: If you have not spoken with Affi in Escha - Zi'Tah and paid 10 silt for a general explanation of how Escha zones and Geas Fete works, Nolan will not talk to you, telling you he is not open for business yet. Three ..."
"Pattel-Bacchel","908","""Port Windurst"", ""Windurst""","602","very long; wiki markup","Notes: :* Explain Fishing fatigue : ""Whew! Been fishing up a storm all day, and my eyes are spinning-winning. : Why, I couldn't tell a Bluetail from a Bibikibo in the state I'm in! : Still, I caughtaru twenty fish today...."
"Kurt","2557","""Bastok (S)"", ""Bastok Markets (S)"", ""Battle""","598","very long; instruction wording; wiki markup","Notes: :* Can appear in all Campaign Battles for Bastok (S) as the leader of the 8th Iron Musketeers. :* Uses Tachi: Enpi for 500-1200+ damage, Tachi: Jinpu for 300-1500 damage, and his own unique AoE Knockback Weapon Sk..."
"Bhoy Yhupplo","1964","""Aht Urhgan Whitegate"", ""Al Zahbi""","597","very long; wiki markup","Notes: Offers various Assault Missions for an I.D tag. Sells items for accumulated Assault points (stage-specific). Offers Assault Missions: :*Golden Salvage Mercenary Rank PSC and above :*Lamia No.13 Mercenary Rank PFC ..."
"Trion","3418","""Battle"", ""Cutscene"", ""Cutscenes, Chateau d'Oraguille"", ""San d'Oria""","595","very long","Involved in Quests: * Under Oath * Lure of the Wildcat (San d'Oria) * Trust: Trion Involved in Missions: * San d'Oria Mission 3-1: Infiltrate Davoi * San d'Oria Mission 5-2: The Shadow Lord * San d'Oria Mission 6-2: Ranp..."
"Pursuivant","1516","""Ru'Lude Gardens"", ""Al Zahbi"", ""Jeuno"", ""Outland"", ""San d'Oria"", ""Windurst""","590","very long; instruction wording","Notes: Pursuivants offer information about the game Ballista and can give the upcoming match schedules; they are also able to warp characters to the specific Ballista or Brenner battle areas. When a player chooses to war..."
"Mahol, I.M.","5825","""Yuhtunga Jungle""","589","very long; wiki markup","Notes: Appears, when Elshimo Lowlands is under weekly conquest-control by Bastok. ;Notes for characters only with Bastok as current Allegiance: :*Casts Signet :*Choice of setting Home Point for free :*Recharges Emperor B..."
"Mintoo, I.M.","5813","""Yhoator Jungle""","588","very long; wiki markup","Notes: Appears, when Elshimo Uplands is under weekly conquest-control by Bastok. ;Notes for characters only with Bastok as current Allegiance: :*Casts Signet :*Choice of setting Home Point for free :*Recharges Emperor Ba..."
"Ilieumort, R.K.","5320","""San d'Oria"", ""Yhoator Jungle""","586","very long; wiki markup","Notes: Appears, when Elshimo Uplands is under weekly conquest-control by San d'Oria. ;Notes for characters only with San d'Oria as current Allegiance: :*Casts Signet :*Choice of setting Home Point for free :*Recharges Em..."
"Pelogrant","5071","""Outland"", ""Xarcabard""","586","very long; instruction wording; wiki markup","Notes: Appears when Valdeaunia is under control of one of the three nations in Conquest. :*Sells to and buys items from characters who are allied with the controlling nation. :*All items that Standard Merchants normally ..."
"Jabbos","4837","""Mine Shaft #2716""","582","very long","Involved in Quests: * A Question of Faith Involved in Missions: * Promathia Mission 5-3: Three Paths * Past Sins (Louverance Path) * Promathia Mission 6-1: For Whom the Verse is Sung * Promathia Mission 6-4: One to be Fe..."
"Uphra-Kophra, W.W.","5109","""Outland"", ""Windurst"", ""Yuhtunga Jungle""","581","very long; wiki markup","Notes: Appears, when Elshimo Lowlands is under weekly conquest-control by Windurst. ;Notes for characters only with Windurst as current Allegiance: :*Casts Signet :*Choice of setting Home Point for free :*Recharges Empre..."
"Bikho Ronpotteh","5616","""Windurst"", ""Windurst Waters (North)""","580","very long","Notes: One of The Dark Lilies of the Harvest Festival event held each October since 2004. Bikho's Story: This...was a secret place... A place...that nobody knew... The purrrfect spot... An enchanted spot... So many fish...."
"Etaj-Pohtaj, W.W.","5637","""Windurst"", ""Yhoator Jungle""","580","very long; wiki markup","Notes: Appears, when Elshimo Uplands is under weekly conquest-control by Windurst. ;Notes for characters only with Windurst as current Allegiance: :*Casts Signet :*Choice of setting Home Point for free :*Recharges Empres..."
"Kaya, I.M.","5053","""Outland"", ""Xarcabard""","579","very long; wiki markup","Notes: Appears, when Valdeaunia is under weekly conquest-control by Bastok ;Notes for characters only with Bastok as current Allegiance: :*Casts Signet :*Choice of setting Home Point for free :*Recharges Emperor Band, Em..."
"Jeantelas, R.K.","5048","""Outland"", ""San d'Oria"", ""Xarcabard""","577","very long; wiki markup","Notes: Appears, when Valdeaunia is under weekly conquest-control by San d'Oria ;Notes for characters only with San d'Oria as current Allegiance: :*Casts Signet :*Choice of setting Home Point for free :*Recharges Empress ..."
"Royal Provisioner","3408","""Battle"", ""San d'Oria (S)"", ""Varies""","576","very long","Notes: * Appears during offensive campaigns against Beastman territories. Up to 3 provisioners may be present at one time. *Distributes temporary items to players allied with San d'Oria in the battle. *Upon the depletion..."
"Ryokei, I.M.","5085","""Outland"", ""West Sarutabaruta""","576","very long; wiki markup","Notes: Appears, when Sarutabaruta is under weekly conquest-control by Bastok. ;Notes for characters only with Bastok as current Allegiance: :*Casts Signet :*Choice of setting Home Point for free :*Recharges Emperor Band,..."
"Naguipeillont, R.K.","5326","""San d'Oria"", ""West Sarutabaruta""","574","very long; wiki markup","Notes: Appears, when Sarutabaruta is under weekly conquest-control by San d'Oria. ;Notes for characters only with San d'Oria as current Allegiance: :*Casts Signet :*Choice of setting Home Point for free :*Recharges Empre..."
"Parledaire, R.K.","3580","""Beaucedine Glacier"", ""Outland"", ""San d'Oria""","574","very long; wiki markup","Notes: Appears, when Fauregandi is under weekly conquest-control by San d'Oria ;Notes for characters only with San d'Oria as current Allegiance: :*Casts Signet :*Choice of setting Home Point for free :*Recharges Empress ..."
"Shigezane, I.M.","4948","""North Gustaberg"", ""Outland""","573","very long; wiki markup","Notes: Appears, when Gustaberg is under weekly conquest-control by Bastok. ;Notes for characters only with Bastok as current Allegiance: :*Casts Signet :*Choice of setting Home Point for free :*Recharges Emperor Band, Em..."
"Takamoto, I.M.","4636","""Jugner Forest"", ""Outland""","573","very long; wiki markup","Notes: Appears when Norvallen is controlled by Bastok during the conquest period. ;Notes for characters only with Bastok as current Allegiance: :*Casts Signet :*Choice of setting Home Point for free :*Recharges Emperor B..."
"Ennigreaud, R.K.","4942","""North Gustaberg"", ""San d'Oria""","571","very long; wiki markup","Notes: Appears, when Gustaberg is under weekly conquest-control by San d'Oria. ;Notes for characters only with San d'Oria as current Allegiance: :*Casts Signet :*Choice of setting Home Point for free :*Recharges Empress ..."
"Lindgard, I.M.","4176","""Eastern Altepa Desert"", ""Outland""","571","very long; wiki markup","Notes: Appears, when Kuzotz is under weekly conquest-control by Bastok. ;Notes for characters only with Bastok as current Allegiance: :*Casts Signet :*Choice of setting Home Point for free :*Recharges Emperor Band, Empre..."
"Magumo-Yagimo, W.W.","5057","""Outland"", ""Windurst"", ""Xarcabard""","571","very long; wiki markup","Notes: Appears, when Valdeaunia is under weekly conquest-control by Windurst ;Notes for characters only with Windurst as current Allegiance: :*Casts Signet :*Choice of setting Home Point for free :*Recharges Empress Band..."
"Gessho","3386","""Battle"", ""Cutscene"", ""Far East"", ""Various cutscenes""","570","very long","Involved in Quests: * Divine Interference Starts Missions: * Aht Urhgan Mission 16: Ghosts of the Past * Aht Urhgan Mission 36: Gaze of the Saboteur Involved in Missions: * Aht Urhgan Mission 4: Knight of Gold * Aht Urhg..."
"Ishin, I.M.","3638","""Buburimu Peninsula""","570","very long; wiki markup","Notes: Appears, when Kolshushu is under weekly conquest-control by Bastok. ;Notes for characters only with Bastok as current Allegiance: :*Casts Signet :*Choice of setting Home Point for free :*Recharges Emperor Band, Em..."
"Tsonga-Hoponga, W.W.","5106","""Outland"", ""Qufim Island"", ""Windurst""","570","very long; wiki markup","Notes: Appears, when Qufim is under weekly conquest-control by Windurst ;Notes for characters only with Windurst as current Allegiance: :*Casts Signet :*Choice of setting Home Point for free :*Recharges Empress Band, Cha..."
"Ayame","207","""Metalworks""","569","very long","Starts Quests: * A Question of Faith * Out of the Depths * Return to the Depths * True Strength (MNK AF3) Involved in Quests: * Faded Promises * Lure of the Wildcat (Bastok) * Trust: Bastok Involved in Missions: * Bastok..."
"Chegourt, R.K.","4804","""Meriphataud Mountains"", ""San d'Oria""","569","very long; wiki markup","Notes: Appears, when Aragoneu is under weekly conquest-control by San d'Oria ;Notes for characters only with San d'Oria as current Allegiance: :*Casts Signet :*Choice of setting Home Point for free :*Recharges Empress Ba..."
"Eaulevisat, R.K.","4173","""Eastern Altepa Desert"", ""San d'Oria""","569","very long; wiki markup","Notes: Appears, when Kuzotz is under weekly conquest-control by San d'Oria. ;Notes for characters only with San d'Oria as current Allegiance: :*Casts Signet :*Choice of setting Home Point for free :*Recharges Empress Ban..."
"Volker","3542","""Battle"", ""Cutscene"", ""Cutscenes""","569","very long","Involved in Quests: * Waking the Colossus * Trust: Bastok Involved in Missions: * Bastok Mission 1-2: A Geological Survey * Bastok Mission 2-1: The Crystal Line * Bastok Mission 3-1: The Four Musketeers * Bastok Mission ..."
"Roshina-Kuleshuna, W.W.","5084","""Outland"", ""West Sarutabaruta"", ""Windurst""","568","very long; wiki markup","Notes: Appears, when Sarutabaruta is under weekly conquest-control by Windurst. ;Notes for characters only with Windurst as current Allegiance: :*Casts Signet :*Choice of setting Home Point for free :*Recharges Empress B..."
"Ryunchi-Pauchi, W.W.","3583","""Beaucedine Glacier"", ""Outland"", ""Windurst""","568","very long; wiki markup","Notes: Appears, when Fauregandi is under weekly conquest-control by Windurst ;Notes for characters only with Windurst as current Allegiance: :*Casts Signet :*Choice of setting Home Point for free :*Recharges Empress Band..."
"Souun, I.M.","5096","""Outland"", ""Pashhow Marshlands""","568","very long; wiki markup","Notes: Appears, when Derfland is under weekly conquest-control by Bastok. ;Notes for characters only with Bastok as current Allegiance: :*Casts Signet :*Choice of setting Home Point for free :*Recharges Emperor Band, Emp..."
"Bonbavour, R.K.","3632","""Buburimu Peninsula"", ""San d'Oria""","567","very long; wiki markup","Notes: Appears, when Kolshushu is under weekly conquest-control by San d'Oria ;Notes for characters only with San d'Oria as current Allegiance: :*Casts Signet :*Choice of setting Home Point for free :*Recharges Empress B..."
"Calliope, I.M.","5489","""The Sanctuary of Zi'Tah""","566","very long; wiki markup","Notes: Appears, when Li'Telor is under weekly conquest-control by Bastok ;Notes for characters only with Bastok as current Allegiance: :*Casts Signet :*Choice of setting Home Point for free :*Recharges Emperor Band, Empr..."
"Mesachedeau, R.K.","5171","""Pashhow Marshlands"", ""San d'Oria""","566","very long; wiki markup","Notes: Appears, when Derfland is under weekly conquest-control by San d'Oria. ;Notes for characters only with San d'Oria as current Allegiance: :*Casts Signet :*Choice of setting Home Point for free :*Recharges Empress B..."
"Tsunashige, I.M.","5107","""Outland"", ""Valkurm Dunes""","566","very long; wiki markup","Notes: Appears, when Zulkheim is under weekly conquest-control by Bastok ;Notes for characters only with Bastok as current Allegiance: :*Casts Signet :*Choice of setting Home Point for free :*Recharges Emperor Band, Empr..."
"Credaurion, R.K.","5315","""San d'Oria"", ""The Sanctuary of Zi'Tah""","565","very long; wiki markup","Notes: Appears, when Li'Telor is under weekly conquest-control by San d'Oria. ;Notes for characters only with San d'Oria as current Allegiance: :*Casts Signet :*Choice of setting Home Point for free :*Recharges Empress B..."
"Kuuwari-Aori, W.W.","4946","""North Gustaberg"", ""Windurst""","565","very long; wiki markup","Notes: Appears, when Gustaberg is under weekly conquest-control by Windurst. ;Notes for characters only with Windurst as current Allegiance: :*Casts Signet :*Choice of setting Home Point for free :*Recharges Empress Band..."
"Laisavie X Berlends","2633","""Battle"", ""San d'Oria (S)"", ""Southern San d'Oria (S)""","565","very long","Notes: * Appears during Campaign Battles in Jugner Forest (S) and Southern San d'Oria (S) as the leader of the Silver Fox Archers. She is a Paladin/Ranger. *Has a unique ranged weaponskill: Arrow of Apathy which deals co..."
"Sarmistha, I.M.","3670","""Cape Teriggan"", ""Outland""","565","very long; wiki markup","Notes: Appears, when Vollbow is under weekly conquest-control by Bastok. ;Notes for characters only with Bastok as current Allegiance: :*Casts Signet :*Choice of setting Home Point for free :*Recharges Emperor Band, Empr..."
"Quanteilleron, R.K.","5078","""Outland"", ""San d'Oria"", ""Valkurm Dunes""","564","very long; wiki markup","Notes: Appears, when Zulkheim is under weekly conquest-control by San d'Oria ;Notes for characters only with San d'Oria as current Allegiance: :*Casts Signet :*Choice of setting Home Point for free :*Recharges Empress Ba..."
"Sasa, I.M.","5087","""Outland"", ""Qufim Island""","564","very long; wiki markup","Notes: Appears, when Qufim is under weekly conquest-control by Bastok ;Notes for characters only with Bastok as current Allegiance: :*Casts Signet :*Choice of setting Home Point for free :*Recharges Emperor Band, Empress..."
"Chaplion, R.K.","4630","""Jugner Forest"", ""Outland"", ""San d'Oria""","563","very long; wiki markup","Notes: Appears, when Norvallen is under weekly conquest-control by San d'Oria ;Notes for characters only with San d'Oria as current Allegiance: :*Casts Signet :*Choice of setting Home Point for free :*Recharges Empress B..."
"Donmo-Boronmo, W.W.","4806","""Meriphataud Mountains"", ""Windurst""","563","very long; wiki markup","Notes: Appears, when Aragoneu is under weekly conquest-control by Windurst ;Notes for characters only with Windurst as current Allegiance: :*Casts Signet :*Choice of setting Home Point for free :*Recharges Empress Band o..."
"Salimardi, R.K.","3669","""Cape Teriggan"", ""Outland"", ""San d'Oria""","563","very long; wiki markup","Notes: Appears, when Vollbow is under weekly conquest-control by San d'Oria. ;Notes for characters only with San d'Oria as current Allegiance: :*Casts Signet :*Choice of setting Home Point for free :*Recharges Empress Ba..."
"Variko-Njariko, W.W.","4180","""Eastern Altepa Desert"", ""Outland"", ""Windurst""","563","very long; wiki markup","Notes: Appears, when Kuzotz is under weekly conquest-control by Windurst. ;Notes for characters only with Windurst as current Allegiance: :*Casts Signet :*Choice of setting Home Point for free :*Recharges Empress Band or..."
"Akane, I.M. (Beaucedine Glacier)","3572","""Beaucedine Glacier"", ""Outland""","562","very long; wiki markup","Notes: Appears, when Fauregandi is under weekly conquest-control by Bastok ;Notes for characters only with Bastok as current Allegiance: :*Casts Signet :*Choice of setting Home Point for free :*Recharges Empress Band or ..."
"Ganemu-Punnemu, W.W.","3637","""Buburimu Peninsula"", ""Windurst""","562","very long; wiki markup","Notes: Appears, when Kolshushu is under weekly conquest-control by Windurst. ;Notes for characters only with Windurst as current Allegiance: :*Casts Signet :*Choice of setting Home Point for free :*Recharges Empress Band..."
"Pitoire, R.K.","5074","""Outland"", ""Qufim Island"", ""San d'Oria""","562","very long; wiki markup","Notes: Appears, when Qufim is under weekly conquest-control by San d'Oria ;Notes for characters only with San d'Oria as current Allegiance: :*Casts Signet :*Choice of setting Home Point for free :*Recharges Empress Band ..."
"Yoshihiro, I.M.","5112","""Outland"", ""West Ronfaure""","562","very long; wiki markup","Notes: Appears, when Ronfaure is under weekly conquest-control by Bastok ;Notes for characters only with Bastok as current Allegiance: :*Casts Signet :*Choice of setting Home Point for free :*Recharges Emperor Band, Empr..."
"Doladepaiton, R.K.","5035","""Outland"", ""San d'Oria"", ""West Ronfaure""","560","very long; wiki markup","Notes: Appears, when Ronfaure is under weekly conquest-control by San d'Oria ;Notes for characters only with San d'Oria as current Allegiance: :*Casts Signet :*Choice of setting Home Point for free :*Recharges Empress Ba..."
"Mokto-Lankto, W.W.","5172","""Pashhow Marshlands"", ""Windurst""","560","very long; wiki markup","Notes: Appears, when Derfland is under weekly conquest-control by Windurst. ;Notes for characters only with Windurst as current Allegiance: :*Casts Signet :*Choice of setting Home Point for free :*Recharges Empress Band ..."
"Shikaree Z","3615","""Boneyard Gully"", ""Cutscene"", ""Outland""","560","very long","Involved in Quests: * One Good Deed? * Requiem of Sin Involved in Missions: * Promathia Mission 5-3: Three Paths * Where Messengers Gather (Ulmia's Path) * Promathia Mission 6-4: One to be Feared * Promathia Mission 7-1:..."
"Joachim","1247","""Abyssea"", ""Port Jeuno""","559","very long","Starts Quests: * A Journey Begins 1 * The Truth Beckons 2 * Dawn of Death 3 * First Contact 4 * The Forbidden Frontier Vision of Abyssea (Quest) 4A * Scars of Abyssea (Quest) 4B * Heroes of Abyssea (Quest) 4C * Gilgamesh..."
"Ajimo-Majimo, W.W.","5486","""The Sanctuary of Zi'Tah"", ""Windurst""","558","very long; wiki markup","Notes: Appears, when Li'Telor is under weekly conquest-control by Windurst ;Notes for characters only with Windurst as current Allegiance: :*Casts Signet :*Choice of setting Home Point for free :*Recharges Empress Band o..."
"Nyata-Mobuta, W.W.","5068","""Outland"", ""Valkurm Dunes"", ""Windurst""","558","very long; wiki markup","Notes: Appears, when Zulkheim is under weekly conquest-control by Windurst ;Notes for characters only with Windurst as current Allegiance: :*Casts Signet :*Choice of setting Home Point for free :*Recharges Empress Band o..."
"Bubchu-Bibinchu, W.W.","4629","""Jugner Forest"", ""Outland"", ""Windurst""","557","very long; wiki markup","Notes: Appears, when Norvallen is under weekly conquest-control by Windurst ;Notes for characters only with Windurst as current Allegiance: :*Casts Signet :*Choice of setting Home Point for free :*Recharges Empress Band ..."
"Voranbo-Natanbo, W.W.","3671","""Cape Teriggan"", ""Outland"", ""Windurst""","557","very long; wiki markup","Notes: Appears, when Vollbow is under weekly conquest-control by Windurst. ;Notes for characters only with Windurst as current Allegiance: :*Casts Signet :*Choice of setting Home Point for free :*Recharges Empress Band o..."
"Savage Hound Condottiere","4138","""East Ronfaure (S), Jugner Forest (S). Vunkerl Inlet (S), Batallia Downs (S), The Eldieme Necropolis (S)."", ""San d'Oria (S)""","555","very long","Notes: * Under the command of the elvaan general Leonoyne. * Interestingly they are clad in several Dark Knight only armor pieces but have not been observed to cast any form of magic. *They are among the few that may be ..."
"Kyanta-Pakyanta, W.W.","5054","""Outland"", ""West Ronfaure"", ""Windurst""","554","very long; wiki markup","Notes: Appears, when Ronfaure is under weekly conquest-control by Windurst ;Notes for characters only with Windurst as current Allegiance: :*Casts Signet :*Choice of setting Home Point for free :*Recharges Empress Band o..."
"Ajido-Marujido","784","""Battle"", ""Cutscene"", ""Heavens Tower"", ""Windurst""","550","very long","Involved in Quests: * I Can Hear a Rainbow * Wonder Wands Involved in Missions: * Windurst Mission 1-1: The Horutoto Ruins Experiment * Windurst Mission 2-1: Lost for Words * Windurst Mission 3-1: To Each His Own Right *..."
"Mrohk Sahjuuli","2031","""Aht Urhgan Whitegate"", ""Al Zahbi""","549","very long; instruction wording","Notes: Ghanraam will exchange items from Salvage II ruins expeditions and crafting items for pieces of Salvage +1 armor. Mrohk Sahjuuli can also store plans obtained in Salvage II runs. * To upgrade a piece, trade her th..."
"Ilgusin","606","""Port San d'Oria"", ""San d'Oria""","547","very long","Notes: Aye, 'tis true that San d'Oria joined Windurst, Bastok, and Jeuno in war twenty years ago. We slew the Shadow Lord, and drove back his hordes! I say ""we,"" but what did the absent-minded Windurstians and granite-li..."
"Ghost Talker, I.M.","4747","""Lufaise Meadows"", ""Outland""","543","very long; wiki markup","Notes: Appears, when Tavnazian Archipelago is under weekly conquest-control by Bastok ;Notes for characters only with Bastok as current Allegiance: :*Casts Signet :*Choice of setting Home Point for free :*Recharges Emper..."
"Yoram, I.M.","4751","""Lufaise Meadows"", ""Outland""","543","very long; wiki markup","Notes: Appears, when Tavnazian Archipelago is under weekly conquest-control by Bastok ;Notes for characters only with Bastok as current Allegiance: :*Casts Signet :*Choice of setting Home Point for free :*Recharges Emper..."
"Chilaumme, R.K.","4743","""Lufaise Meadows"", ""Outland"", ""San d'Oria""","541","very long; wiki markup","Notes: Appears, when Tavnazian Archipelago is under weekly conquest-control by San d'Oria ;Notes for characters only with San d'Oria as current Allegiance: :*Casts Signet :*Choice of setting Home Point for free :*Recharg..."
"Jemmoquel, R.K.","4748","""Lufaise Meadows"", ""Outland"", ""San d'Oria""","541","very long; wiki markup","Notes: Appears, when Tavnazian Archipelago is under weekly conquest-control by San d'Oria ;Notes for characters only with San d'Oria as current Allegiance: :*Casts Signet :*Choice of setting Home Point for free :*Recharg..."
"A.M.A.N. Reclaimer","31","""Bastok Markets""","536","very long","Notes: A.M.A.N. Reclaimers exchange armour and weapons from certain areas for Reclamation Marks. Upon accumulating 1,000 Reclamation Marks, they will be automatically converted to 1 Copper Voucher, and automatically stor..."
"Cotete, W.W.","4746","""Lufaise Meadows"", ""Outland"", ""Windurst""","535","very long; wiki markup","Notes: Appears, when Tavnazian Archipelago is under weekly conquest-control by Windurst ;Notes for characters only with Windurst as current Allegiance: :*Casts Signet :*Choice of setting Home Point for free :*Recharges E..."
"Meret","1710","""Tavnazian Safehold"", ""Top level in Tavnazian Safehold at""","535","very long; instruction wording","Notes: Sea Gods item acquisition. You must complete her friend Yurim's quest, In the Name of Science, before Meret will accept any trades. Absolute Virtue * Futsuno Mitama * Aureole * Raphael's Rod * Ninurta's Sash * Mar..."
"Bammiro, I.M.","5822","""Yuhtunga Jungle""","534","very long; wiki markup","Notes: Appears, when Elshimo Lowlands is under weekly conquest-control by Bastok. ;Notes for characters only with Bastok as current Allegiance: :*Casts Signet :*Choice of setting Home Point for free :*Recharges Emperor B..."
"Guddal, I.M.","5810","""Yhoator Jungle""","532","very long; wiki markup","Notes: Appears, when Elshimo Uplands is under weekly conquest-control by Bastok. ;Notes for characters only with Bastok as current Allegiance: :*Casts Signet :*Choice of setting Home Point for free :*Recharges Emperor Ba..."
"Mupia, R.K.","5325","""San d'Oria"", ""Yuhtunga Jungle""","532","very long; wiki markup","Notes: Appears, when Elshimo Lowlands is under weekly conquest-control by San d'Oria. ;Notes for characters only with San d'Oria as current Allegiance: :*Casts Signet :*Choice of setting Home Point for free :*Recharges E..."
"Nyumomo","2707","""Battle"", ""Windurst (S)"", ""Windurst Waters (S)""","532","very long; instruction wording","Notes: * Appears during Campaign Battles as the leader of the Patriarch Protectors. Deployed only to Fort Karugo-Narugo (S) and Windurst Waters (S). *Nyumomo casts high tier earth elemental magic. *Calls forth Patrol Wor..."
"Kupipi","4482","""Heavens Tower (North end of ground floor, in the Clerical Chamber) *Also appears as a guest during Chocobo Races - Rakapopo Cup, with her own chocobo, Starlight on the track ridden by Koru-Moru."", ""Windurst""","531","very long","Involved in Quests: * Riding on the Clouds * BLM AF3 quest: The Root of the Problem * Trust: Windurst * Obtaining a Ballista License (as an envoy to the Star Sybil) Starts Missions: * Kupipi's Dilemma (The Voracious Resu..."
"Emila, R.K.","5317","""San d'Oria"", ""Yhoator Jungle""","530","very long; wiki markup","Notes: Appears, when Elshimo Uplands is under weekly conquest-control by San d'Oria. ;Notes for characters only with San d'Oria as current Allegiance: :*Casts Signet :*Choice of setting Home Point for free :*Recharges Em..."
"Callort","582","""Port San d'Oria"", ""San d'Oria""","527","very long","Notes: Dialogue: Airships fly between our kingdom and the Grand Duchy of Jeuno to the east. I'll never forget the first day I saw one of those ships fly... Jeuno's history is short, but quickly did that village of Hume f..."
"Richacha, W.W.","5081","""Outland"", ""Windurst"", ""Yuhtunga Jungle""","526","very long; wiki markup","Notes: Appears, when Elshimo Lowlands is under weekly conquest-control by Windurst. ;Notes for characters only with Windurst as current Allegiance: :*Casts Signet :*Choice of setting Home Point for free :*Recharges Empre..."
"Slow Axe, I.M.","5095","""Outland"", ""West Sarutabaruta""","526","very long; wiki markup","Notes: Appears, when Sarutabaruta is under weekly conquest-control by Bastok. ;Notes for characters only with Bastok as current Allegiance: :*Casts Signet :*Choice of setting Home Point for free :*Recharges Emperor Band,..."
"Cornelia","3988","""Cutscene"", ""Various cutscenes Her room is behind the President ( Bastok Metalworks:""","525","very long","Involved in Quests: * Beauty and the Galka * Fallen Comrades * Rivals Involved in Missions: * Bastok Mission 3-1: The Four Musketeers * Bastok Mission 5-1: Darkness Rising * Bastok Mission 7-1: The Final Image * Bastok M..."
"Three Steps, I.M.","4809","""Meriphataud Mountains""","525","very long; wiki markup","Notes: Appears when Aragoneu is controlled by Bastok during the conquest period. ;Notes for characters only with Bastok as current Allegiance: :*Casts Signet :*Choice of setting Home Point for free :*Recharges Emperor Ba..."
"Ghantata, W.W.","5648","""Windurst"", ""Yhoator Jungle""","524","very long; wiki markup","Notes: Appears, when Elshimo Uplands is under weekly conquest-control by Windurst. ;Notes for characters only with Windurst as current Allegiance: :*Casts Signet :*Choice of setting Home Point for free :*Recharges Empres..."
"Banege, R.K.","5309","""San d'Oria"", ""West Sarutabaruta""","523","very long; wiki markup","Notes: Appears, when Sarutabaruta is under weekly conquest-control by San d'Oria ;Notes for characters only with San d'Oria as current Allegiance: :*Casts Signet :*Choice of setting Home Point for free :*Recharges Empres..."
"Heavy Bear, I.M.","5045","""Outland"", ""Xarcabard""","521","very long; wiki markup","Notes: Appears, when Valdeaunia is under weekly conquest-control by Bastok ;Notes for characters only with Bastok as current Allegiance: :*Casts Signet :*Choice of setting Home Point for free :*Recharges Emperor Band, Em..."
"Rattling Rain, I.M.","3582","""Beaucedine Glacier"", ""Outland""","521","very long; wiki markup","Notes: Appears, when Fauregandi is under weekly conquest-control by Bastok ;Notes for characters only with Bastok as current Allegiance: :*Casts Signet :*Choice of setting Home Point for free :*Recharges Emperor Band, Em..."
"Heavy Fog, I.M.","4943","""North Gustaberg""","520","very long; wiki markup","Notes: Appears, when Gustaberg is under weekly conquest-control by Bastok. ;Notes for characters only with Bastok as current Allegiance: :*Casts Signet :*Choice of setting Home Point for free :*Recharges Emperor Band, Em..."
"Wise Turtle, I.M.","3641","""Buburimu Peninsula"", ""Outland""","520","very long; wiki markup","Notes: Appears, when Kolshushu is under weekly conquest-control by Bastok. ;Notes for characters only with Bastok as current Allegiance: :*Casts Signet :*Choice of setting Home Point for free :*Recharges Emperor Band, Em..."
"Leaufetie, R.K.","3578","""Beaucedine Glacier"", ""Outland"", ""San d'Oria""","519","very long; wiki markup","Notes: Appears, when Fauregandi is under weekly conquest-control by San d'Oria ;Notes for characters only with San d'Oria as current Allegiance: :*Casts Signet :*Choice of setting Home Point for free :*Recharges Empress ..."
"Pilcha, R.K.","5073","""Outland"", ""San d'Oria"", ""Xarcabard""","519","very long; wiki markup","Notes: Appears, when Valdeaunia is under weekly conquest-control by San d'Oria ;Notes for characters only with San d'Oria as current Allegiance: :*Casts Signet :*Choice of setting Home Point for free :*Recharges Empress ..."
"Pure Heart, I.M.","4635","""Jugner Forest"", ""Outland""","519","very long; wiki markup","Notes: Appears, when Norvallen is under weekly conquest-control by Bastok ;Notes for characters only with Bastok as current Allegiance: :*Casts Signet :*Choice of setting Home Point for free :*Recharges Emperor Band, Emp..."
