"Name","Type","Zones","Location","Info","Note","Icon"
"Auchefort","","Jeuno; Ru'Lude Gardens","Ru'Lude Gardens H-7, Palace, First Floor","","",""
"Audee","Chocobo Renter","Jeuno; Lower Jeuno","Lower Jeuno G-11","","","ChocoboRenter.png"
"Audia","Cut Scene NPC","Cutscene; Jeuno; None","None","Involved in Quests:
- Save My Sister","Involved in Quests:
- Save My Sister",""
"Audibert","Quest NPC","Adoulin; Eastern Adoulin","Eastern Adoulin F-9","Starts Quests:
- Don't Ever Leaf Me","Starts Quests:
- Don't Ever Leaf Me",""
"Augevinne","","La Theine Plateau; San d'Oria","La Theine Plateau F-6","Involved in Missions:
- San d'Oria Mission 2-1: The Rescue Drill","Involved in Missions:
- San d'Oria Mission 2-1: The Rescue Drill",""
"Augu-Maugu","","Windurst; Windurst Walls","Windurst Walls G-11","","",""
"August Adoulin","","Adoulin; Cutscene","","Notes:
*Former companion of Morimar and Sajj'aka. *Founder of the Sacred City of Adoulin.","Notes:
*Former companion of Morimar and Sajj'aka. *Founder of the Sacred City of Adoulin.",""
"Aulavia","Regional Vendor","Bastok Mines","Bastok Mines G-7 (West of the South Auction, against the Depot.)","","",""
"Aulavia (A)","","Abyssea; Abyssea - Uleguerand Base Camp","Abyssea - Uleguerand Base Camp","","",""
"Aurege","Quest Giver NPC","Northern San d'Oria; San d'Oria","Northern San d'Oria F-3","Starts Quests:
- Exit the Gambler

Notes:
*According to Professor Emanritan, Aurege is a very common Elvaan name.","Starts Quests:
- Exit the Gambler

Notes:
*According to Professor Emanritan, Aurege is a very common Elvaan name.",""
"Aurelius","","Bastok (S); Bastok Markets (S)","Bastok Markets (S) E-8","","",""
"Aurfet","","San d'Oria (S); Southern San d'Oria (S)","Southern San d'Oria (S) G-9","Involved in Missions:
- WOTG21: Proof of Valor","Involved in Missions:
- WOTG21: Proof of Valor",""
"Aurhi Rhatelo","","Fort Karugo-Narugo (S)","Fort Karugo-Narugo (S) G-4","","",""
"Auroral Alicorn","","Jugner Forest (S)","Jugner Forest (S)","Notes:
*If its horn is currently broken, when the zone becomes engaged in a campaign battle, it will run away. *Soultrapper can be used on Auroral Alicorn. *Checks as Impossible to Gauge. *Has movement speed equal to Dark Ixion. Auroral Alicorn is known to use the following abilities: *Uses Scintillant Lance which deals 1000-1200 light-based Cone Attack. *Uses Grace of Hera that grants Regen and removes harmful status effects from everyone in the vicinity. *Uses Acheron Kick which deals 300~ damage AoE Knockback. *Uses Rampant Stance which rears up and damages targets with the possibility of inflicting Weight, Stun, and Aspir. Maruna-Kurina's Notes: Current taxonomy teaches us that at presentaru, the monoceros family contains few known specimens. Those that are classified exhibit great horn spire-wires jutting from their majestic heads, and are either born of light, or of darkness. An influx of eyewitness accounts in recent days all point to the undeniable existence of the beastaru named Dark Ixion. Tempered like a storm and ever wary, both allies and beastman alike tend to keep their distance. The other is dubbed Auroral Alicorn and exhibits a brilliantaru shade of white and a calm, gentle demeanor. The two couldn't be more dissimilar-wimilar. Though almost never seen in the wild prior to the war, Auroral Alicorn has recently been sighted in Jugner Forest, some say nursing wounds. How to Influence: *Alicorn has a passive DoT when its horn is broken. It cannot be dispelled, but he can be cured to regain his HP. The message ""The creature whinnies contentedly."" appears when cured. *Noticed the whinnies contently message appears on first cure if you zone (i.e. Recall-Jugner) between cures. Can still say message again after some repeated curing.","Notes:
*If its horn is currently broken, when the zone becomes engaged in a campaign battle, it will run away. *Soultrapper can be used on Auroral Alicorn. *Checks as Impossible to Gauge. *Has movement speed equal to Dark Ixion. Auroral Alicorn is known to use the following abilities: *Uses Scintillant Lance which deals 1000-1200 light-based Cone Attack. *Uses Grace of Hera that grants Regen and removes harmful status effects from everyone in the vicinity. *Uses Acheron Kick which deals 300~ damage AoE Knockback. *Uses Rampant Stance which rears up and damages targets with the possibility of inflicting Weight, Stun, and Aspir. Maruna-Kurina's Notes: Current taxonomy teaches us that at presentaru, the monoceros family contains few known specimens. Those that are classified exhibit great horn spire-wires jutting from their majestic heads, and are either born of light, or of darkness. An influx of eyewitness accounts in recent days all point to the undeniable existence of the beastaru named Dark Ixion. Tempered like a storm and ever wary, both allies and beastman alike tend to keep their distance. The other is dubbed Auroral Alicorn and exhibits a brilliantaru shade of white and a calm, gentle demeanor. The two couldn't be more dissimilar-wimilar. Though almost never seen in the wild prior to the war, Auroral Alicorn has recently been sighted in Jugner Forest, some say nursing wounds. How to Influence: *Alicorn has a passive DoT when its horn is broken. It cannot be dispelled, but he can be cured to regain his HP. The message ""The creature whinnies contentedly."" appears when cured. *Noticed the whinnies contently message appears on first cure if you zone (i.e. Recall-Jugner) between cures. Can still say message again after some repeated curing.",""
"Auspicious Ajattara","Special Event NPC","West Ronfaure / East Ronfaure / La Theine Plateau / Valkurm Dunes / Jugner Forest / Batallia Downs / North Gustaberg / South Gustaberg / Konschtat Highlands / Pashhow Marshlands / Rolanberry Fields / Beaucedine Glacier / Western Altepa Desert / Eastern Altepa Desert / West Sarutabaruta / East Sarutabaruta / Tahrongi Canyon / Buburimu Peninsula / Meriphataud Mountains / Sauromugue Champaign / The Sanctuary of Zi'Tah / Yuhtunga Jungle / Yhoator Jungle / Qufim Island / Xarcabard (roaming)","West Ronfaure / East Ronfaure / La Theine Plateau / Valkurm Dunes / Jugner Forest / Batallia Downs / North Gustaberg / South Gustaberg / Konschtat Highlands / Pashhow Marshlands / Rolanberry Fields / Beaucedine Glacier / Western Altepa Desert / Eastern Altepa Desert / West Sarutabaruta / East Sarutabaruta / Tahrongi Canyon / Buburimu Peninsula / Meriphataud Mountains / Sauromugue Champaign / The Sanctuary of Zi'Tah / Yuhtunga Jungle / Yhoator Jungle / Qufim Island / Xarcabard (roaming)","Involved in Quests:
- Happy New Year 2012
- Happy New Year 2024","Involved in Quests:
- Happy New Year 2012
- Happy New Year 2024",""
"Auspicious Cub","","","","Notes:
Appears with 4 other NPCs: *Galger *Taruger *Auspicious Tiger *Auspicious Tigress","Notes:
Appears with 4 other NPCs: *Galger *Taruger *Auspicious Tiger *Auspicious Tigress",""
"Auspicious Tiger","","","","Notes:
Appears with 4 other NPCs: *Galger *Taruger *Auspicious Tigress *Auspicious Cub","Notes:
Appears with 4 other NPCs: *Galger *Taruger *Auspicious Tigress *Auspicious Cub",""
"Auspicious Tigress","","","","Notes:
Appears with 4 other NPCs: *Galger *Taruger *Auspicious Tiger *Auspicious Cub","Notes:
Appears with 4 other NPCs: *Galger *Taruger *Auspicious Tiger *Auspicious Cub",""
"Authere","","San d'Oria; Southern San d'Oria","Southern San d'Oria J-9","Involved in Quests:
- Lure of the Wildcat (San d'Oria)

Notes:
Triggers the cutscene titled ""Dueling Brothers"" when spoken to for the first time.","Involved in Quests:
- Lure of the Wildcat (San d'Oria)

Notes:
Triggers the cutscene titled ""Dueling Brothers"" when spoken to for the first time.",""
"Autouria","","San d'Oria (S); Southern San d'Oria (S)","Southern San d'Oria (S) L-7","","",""
"Auvare","","Port San d'Oria; San d'Oria","Port San d'Oria H-5","Involved in Quests:
- Flyers for Regine","Involved in Quests:
- Flyers for Regine",""
"Avandale","Adventurer's Assistant NPC","Port San d'Oria; San d'Oria","Port San d'Oria F-10","Notes:
Offers General Information: :Perhaps I could be of service. Is there anything in particular you'd like to know? :*""Nothing Actually."" :*""I'd like to get out of the city."": Just got here and you're aching to leave, eh? Listen, the lands are wild beyond our gates, filled with fiends and their ilk. But if you must go, take those stairs, head for Northern San d'Oria, then go out Ranperre Gate. You'll need to go down Laborman's Way, then take a right to get to the gate. If you need any help with directions, ask those around you. Our citizens are friendly, for the most part. :*""I'd like to do some shopping."": If you want to buy weapons or other supplies, just ask one of the merchants in town. :*""Tell me more about adventuring."": Ahhh, recruits... Don't know which way to hold a sword and you think you're ready for adventures. Well, what would you like to know? ::*""Helping people."": Ah, a commendable choice! Come to think of it, there was a lady in front of a house on Pikeman's Way. She may be in need of assistance. If you need any help with directions, ask those around you. Our citizens are friendly, for the most part. ::*""Hunting monsters."": Ahhh, recruits... Don't know your own limits until a fiend beats it into your head for you. Very well. How about gathering some hides? From Northern San d'Oria, pass through Victory Arch to enter Sounthern San d'Oria. There you'll find the Tanners' Guild. They need hides every now and then. If you have trouble finding the Tanners' Guild, just ask around. ::*""Making easy money."": Easy money, eh? Typical of a new recruit. I canot promise ease, but try the lumberyard in Northern San d'Oria. Should be enough work for you there. Go up those stairs there to get to Northern San d'Oria. You'll find the lumberyard near the top. If you need any help with directions, ask those around you. Our citizens are friendly, for the most part. ::*""Working for my country."": Ah, a commendable choice. Head to any city gate and inquire at the gatehouse. They'll give you work befitting your rank. If you need any help with directions, ask those around you. Our citizens are friendly, for the most part.","Notes:
Offers General Information: :Perhaps I could be of service. Is there anything in particular you'd like to know? :*""Nothing Actually."" :*""I'd like to get out of the city."": Just got here and you're aching to leave, eh? Listen, the lands are wild beyond our gates, filled with fiends and their ilk. But if you must go, take those stairs, head for Northern San d'Oria, then go out Ranperre Gate. You'll need to go down Laborman's Way, then take a right to get to the gate. If you need any help with directions, ask those around you. Our citizens are friendly, for the most part. :*""I'd like to do some shopping."": If you want to buy weapons or other supplies, just ask one of the merchants in town. :*""Tell me more about adventuring."": Ahhh, recruits... Don't know which way to hold a sword and you think you're ready for adventures. Well, what would you like to know? ::*""Helping people."": Ah, a commendable choice! Come to think of it, there was a lady in front of a house on Pikeman's Way. She may be in need of assistance. If you need any help with directions, ask those around you. Our citizens are friendly, for the most part. ::*""Hunting monsters."": Ahhh, recruits... Don't know your own limits until a fiend beats it into your head for you. Very well. How about gathering some hides? From Northern San d'Oria, pass through Victory Arch to enter Sounthern San d'Oria. There you'll find the Tanners' Guild. They need hides every now and then. If you have trouble finding the Tanners' Guild, just ask around. ::*""Making easy money."": Easy money, eh? Typical of a new recruit. I canot promise ease, but try the lumberyard in Northern San d'Oria. Should be enough work for you there. Go up those stairs there to get to Northern San d'Oria. You'll find the lumberyard near the top. If you need any help with directions, ask those around you. Our citizens are friendly, for the most part. ::*""Working for my country."": Ah, a commendable choice. Head to any city gate and inquire at the gatehouse. They'll give you work befitting your rank. If you need any help with directions, ask those around you. Our citizens are friendly, for the most part.",""
"Aveline","Standard Merchant","San d'Oria; Southern San d'Oria","Southern San d'Oria F-7, in Raimbroy's Grocery","","",""
"Avijit","Adventurer's Assistant NPC","Jeuno; Port Jeuno","Port Jeuno H-6","","",""
"Awaheen","Imperial Merchant","Nashmau","Nashmau G-9 - 2nd Floor","","",""
"Ayame","","Bastok; Metalworks","Metalworks K-7, on the top level in the Cannonry","Starts Quests:
- A Question of Faith
- Out of the Depths
- Return to the Depths
- True Strength (MNK AF3)

Involved in Quests:
- Faded Promises
- Lure of the Wildcat (Bastok)
- Trust: Bastok

Involved in Missions:
- Bastok Mission 2-1: The Crystal Line
- Bastok Mission 3-1: The Four Musketeers
- Bastok Mission 6-2: The Pirates' Cove
- Bastok Mission 9-2: Where Two Paths Converge
- Promathia Mission 1-3: The Mothercrystals
- Promathia Mission 3-1: Call of the Wyrmking
- Aht Urhgan Mission 38: Stirrings of War
- A Crystalline Prophecy (Mission)

Notes:
*A member of the Mythril Musketeers. She is ""Number 4"". Plays a key role in multiple Bastok Missions.","Starts Quests:
- A Question of Faith
- Out of the Depths
- Return to the Depths
- True Strength (MNK AF3)

Involved in Quests:
- Faded Promises
- Lure of the Wildcat (Bastok)
- Trust: Bastok

Involved in Missions:
- Bastok Mission 2-1: The Crystal Line
- Bastok Mission 3-1: The Four Musketeers
- Bastok Mission 6-2: The Pirates' Cove
- Bastok Mission 9-2: Where Two Paths Converge
- Promathia Mission 1-3: The Mothercrystals
- Promathia Mission 3-1: Call of the Wyrmking
- Aht Urhgan Mission 38: Stirrings of War
- A Crystalline Prophecy (Mission)

Notes:
*A member of the Mythril Musketeers. She is ""Number 4"". Plays a key role in multiple Bastok Missions.",""
"Ayame (A)","","Abyssea; Abyssea - Konschtat","Abyssea - Konschtat","Starts Quests:
- Hope Blooms on the Battlefield
- Rose on the Heath
- Reports your progress towards finishing Abyssea - Konschtat's objectives.
- =Goals completed=
- Completing all quests: 8,000 Cruor.
- Obtaining all Abyssite: 10,000 Cruor
- Obtaining all Atma: 12,000 Cruor","Starts Quests:
- Hope Blooms on the Battlefield
- Rose on the Heath
- Reports your progress towards finishing Abyssea - Konschtat's objectives.
- =Goals completed=
- Completing all quests: 8,000 Cruor.
- Obtaining all Abyssite: 10,000 Cruor
- Obtaining all Atma: 12,000 Cruor",""
"Aymeric, T.K.","Campaign NPC","Castle Zvahl Baileys (S); San d'Oria (S)","Castle Zvahl Baileys (S)","Notes:
*San d'Oria affiliated Campaign Arbiter. Present when San d'Oria has control of Castle Zvahl Baileys (S). *Offers Campaign Information, Campaign Allied Tags, Teleportation. *Campaign Sword in front of name during Campaign.","Notes:
*San d'Oria affiliated Campaign Arbiter. Present when San d'Oria has control of Castle Zvahl Baileys (S). *Offers Campaign Information, Campaign Allied Tags, Teleportation. *Campaign Sword in front of name during Campaign.",""
"Aystise","","Windurst (S); Windurst Waters (S)","Windurst Waters (S) F-9 - North","","",""
"Azainnie","Chocobo Circuit Grandstand Attendant","Chocobo Circuit","Chocobo Circuit G-11, Jeuno box seating","Notes:
*Will allow adventures back into the main circuit complex from the grandstand area.","Notes:
*Will allow adventures back into the main circuit complex from the grandstand area.",""
"Azette","Chocobo Renter","Bastok; Bastok Mines","Bastok Mines J-9","Starts Quests:
- A Chocobo Riding Game (Bastok)","Starts Quests:
- A Chocobo Riding Game (Bastok)","ChocoboRenter.png"
"Azima","Alchemy Advanced Synthesis Image Support NPC","Bastok; Bastok Mines","Bastok Mines L-6","Involved in Quests:
- Lost Chick

Involved in Missions:
- The Voracious Resurgence #2: The Brygid Cup

Notes:
*Azima is the creator of the original Kaiserin Cosmetics formula. *Popularity Contest (an article from the Vana'diel Tribune) states that this Azima has never before fought alongside adventurers in combat, however due to the time-travel shenanigans in Wings of the Goddess, that history was altered.","Involved in Quests:
- Lost Chick

Involved in Missions:
- The Voracious Resurgence #2: The Brygid Cup

Notes:
*Azima is the creator of the original Kaiserin Cosmetics formula. *Popularity Contest (an article from the Vana'diel Tribune) states that this Azima has never before fought alongside adventurers in combat, however due to the time-travel shenanigans in Wings of the Goddess, that history was altered.",""
"Azima (S)","","Freelance; North Gustaberg (S)","North Gustaberg (S) E-7, {{Position|North Gustaberg (S)|K-3","Involved in Missions:
- The Voracious Resurgence #2: The Brygid Cup

Notes:
*Appears solo during campaign battles as BLM/BLU. She casts Burst II, Blitzstrahl, Temporal Shift, Plasma Charge, Thunder V, and Thundaga IV, usually preceded with her giggling. Maruna-Kurina's Notes: They call Azima the “Hermitess of the Highlands,” and she is almost universally-wersally regarded as the most skilled and feared bounty hunter in Vana'diel. It's not uncommon to glimpse her from time to time in North Gustaberg. As of late they say she is utterly obsessed with all things alchemy. Those in the know will be the first to tell you, Azima is one best keptaru in good graces. How to Influence: Speak to her with an Alchemy skill or 60 or higher. You will be given the following dialogue when you increase influence: *""Oh, you appear quite versed in the alchemic arts. I just started, myself. Magic is fun and all, but you are always left nothing but the afterglow. Alchemy is like magic that gives you a gift when you are finished!"" When Allied: *When allied with the Kingdom of San d'Oria, Azima can be found at (D-8) of Southern San d'Oria (S). *When allied with the Republic of Bastok, she can be found in front of Angry Bull at (H-10) of Bastok Markets (S), facing him. *When allied with the Federal Forces of Windurst, Azima can be found at (G-9) of Windurst Waters (S) north.","Involved in Missions:
- The Voracious Resurgence #2: The Brygid Cup

Notes:
*Appears solo during campaign battles as BLM/BLU. She casts Burst II, Blitzstrahl, Temporal Shift, Plasma Charge, Thunder V, and Thundaga IV, usually preceded with her giggling. Maruna-Kurina's Notes: They call Azima the “Hermitess of the Highlands,” and she is almost universally-wersally regarded as the most skilled and feared bounty hunter in Vana'diel. It's not uncommon to glimpse her from time to time in North Gustaberg. As of late they say she is utterly obsessed with all things alchemy. Those in the know will be the first to tell you, Azima is one best keptaru in good graces. How to Influence: Speak to her with an Alchemy skill or 60 or higher. You will be given the following dialogue when you increase influence: *""Oh, you appear quite versed in the alchemic arts. I just started, myself. Magic is fun and all, but you are always left nothing but the afterglow. Alchemy is like magic that gives you a gift when you are finished!"" When Allied: *When allied with the Kingdom of San d'Oria, Azima can be found at (D-8) of Southern San d'Oria (S). *When allied with the Republic of Bastok, she can be found in front of Angry Bull at (H-10) of Bastok Markets (S), facing him. *When allied with the Federal Forces of Windurst, Azima can be found at (G-9) of Windurst Waters (S) north.",""
"Aznahf","","Cut scenes; Cutscene","Cut scenes","Involved in Quests:
- Luck of the Draw
- Equipped for All Occasions {{Verification

Notes:
*Involved in the storyline of the Corsair Job, the Seagull Phratrie and The Ashu Talif.","Involved in Quests:
- Luck of the Draw
- Equipped for All Occasions {{Verification

Notes:
*Involved in the storyline of the Corsair Job, the Seagull Phratrie and The Ashu Talif.",""
"Azo","Campaign Battle NPC","Freelance; Various","Various","Notes:
* Along with Vahi, assists Choh Moui in Campaign battles.","Notes:
* Along with Vahi, assists Choh Moui in Campaign battles.",""
"Baa","Sheep NPC","Selbina","Selbina I-9","Involved in Quests:
- Only the Best","Involved in Quests:
- Only the Best",""
"Babban Ny Mheillea","Freelance","Freelance; Meriphataud Mountains (S)","Meriphataud Mountains (S)","Involved in Quests:
- Babban Ny Mheillea","Involved in Quests:
- Babban Ny Mheillea",""
"Babban's Progeny","","Southern San d'Oria / Bastok Mines / Windurst Walls; Special Event","Southern San d'Oria / Bastok Mines / Windurst Walls","Notes:
*One of Babban Ny Mheillea's children. *Roams the zone and attempts to steal sunshine shards from event participants.","Notes:
*One of Babban Ny Mheillea's children. *Roams the zone and attempts to steal sunshine shards from event participants.",""
"Babenn","","Bastok; Bastok Mines","Bastok Mines J-6 in the 2nd to the last house on the upper walkway.","Involved in Quests:
- The Eleventh's Hour
- Riding on the Clouds

Involved in Missions:
- San d'Oria Mission 4-1: Magicite
- Bastok Mission 4-1: Magicite
- Windurst Mission 4-1: Magicite
- Bastok Mission 8-2: Enter the Talekeeper

Notes:
Described in Riding on the Clouds as, ""A pioneer of the Palborough Mines.""","Involved in Quests:
- The Eleventh's Hour
- Riding on the Clouds

Involved in Missions:
- San d'Oria Mission 4-1: Magicite
- Bastok Mission 4-1: Magicite
- Windurst Mission 4-1: Magicite
- Bastok Mission 8-2: Enter the Talekeeper

Notes:
Described in Riding on the Clouds as, ""A pioneer of the Palborough Mines.""",""
"Babubu","Guild Merchant NPC: Fishermans' Guild :Open: 3:00 - 18:00","Port Windurst; Windurst","Port Windurst C-8","","",""
"Bacherume","","Northern San d'Oria; San d'Oria","Northern San d'Oria J-7","Involved in Missions:
- The Heir to the Light","Involved in Missions:
- The Heir to the Light",""
"Baehu-Faehu","Regional Merchant NPC :*Sarutabaruta Region","Windurst; Windurst Waters map = North|G-5","Windurst Waters map = North|G-5","Notes:
* When Windurst does not have control of Sarutabaruta, says: Sorry-dorry, but I'm taking a breaky-wakey! (Or, as you'll be knowing, since control of Sarutabaruta was lost, I'm out of stock, so go on, get going!)♪","Notes:
* When Windurst does not have control of Sarutabaruta, says: Sorry-dorry, but I'm taking a breaky-wakey! (Or, as you'll be knowing, since control of Sarutabaruta was lost, I'm out of stock, so go on, get going!)♪",""
"Bagnobrok","Regional Vendor","Port Bastok","Port Bastok I-6","","",""
"Baha Mannohl","","Windurst; Windurst Woods","Windurst Woods K-7","","",""
"Baha Mannohl (A)","","Abyssea; H-4 Abyssea - Tahrongi","H-4 Abyssea - Tahrongi","Starts Quests:
- For Love of a Daughter","Starts Quests:
- For Love of a Daughter",""
"Bahamut","Cutscene NPC","Cutscene; Outland","","Involved in Quests:
- Storms of Fate
- The Wyrmking Descends

Involved in Missions:
- Promathia Mission 1-1: The Rites of Life
- Promathia Mission 2-5: Ancient Vows
- Promathia Mission 4-2: The Savage
- Promathia Mission 6-4: One to be Feared","Involved in Quests:
- Storms of Fate
- The Wyrmking Descends

Involved in Missions:
- Promathia Mission 1-1: The Rites of Life
- Promathia Mission 2-5: Ancient Vows
- Promathia Mission 4-2: The Savage
- Promathia Mission 6-4: One to be Feared",""
"Baitabriq","","Everbloom Hollow (Inside maze area)","Everbloom Hollow (Inside maze area)","Involved in Quests:
- Aquatic Depopulation Team

Notes:
*Gives instructions on competition rules, sells supplies and gives scores during competition when using Maze Voucher 08. Upon entering victory area, talking to him gives the choice of which of the three NPCs (Elvaan, Mithra or Tarutaru) you want to fish up your Hoardbox.","Involved in Quests:
- Aquatic Depopulation Team

Notes:
*Gives instructions on competition rules, sells supplies and gives scores during competition when using Maze Voucher 08. Upon entering victory area, talking to him gives the choice of which of the three NPCs (Elvaan, Mithra or Tarutaru) you want to fish up your Hoardbox.",""
"Bajahb","Standard Merchant","Aht Urhgan Whitegate; Al Zahbi","Aht Urhgan Whitegate J-11","","",""
"Baladanzo","","Port Windurst; Windurst","Port Windurst L-7","","",""
"Baladanzo (A)","","Abyssea; Abyssea - Tahrongi","Abyssea - Tahrongi","Involved in Quests:
- Bringing Down the Mountain","Involved in Quests:
- Bringing Down the Mountain",""
"Balakaf","Quest Giver","Aht Urhgan Whitegate; Al Zahbi","Aht Urhgan Whitegate I-5 - on the upper level near Port Ephramad","Starts Quests:
- Get the Picture
- Five Seconds of Fame

Involved in Quests:
- Arts and Crafts","Starts Quests:
- Get the Picture
- Five Seconds of Fame

Involved in Quests:
- Arts and Crafts",""
"Balamor","Cutscene NPC","Cutscene","","Starts Quests:
- Sinister Reign

Involved in Quests:
- A Thirst Before Time

Involved in Missions:
- An Emergency Convocation
- Arciela's Resolve
- Balamor's Ruse
- The Charlatan
- Returning to the Trees
- The Light Within
- Where Divinities Collide
- Visions of Dread
- The Decisive Heroine
- Eddies of Despair (Chapter 2)
- Pretender to the Throne

Notes:
*Invented Otherwordly Skirmishes and Skirmish Simulacra as a passing fancy. *Creator of Rala Waterways (U), Cirdas Caverns (U), Yorcia Weald (U), and Outer Ra'Kaznar (U). *Possessed Fremilla for a time. *Possesses Malobra at the conclusion of the story.","Starts Quests:
- Sinister Reign

Involved in Quests:
- A Thirst Before Time

Involved in Missions:
- An Emergency Convocation
- Arciela's Resolve
- Balamor's Ruse
- The Charlatan
- Returning to the Trees
- The Light Within
- Where Divinities Collide
- Visions of Dread
- The Decisive Heroine
- Eddies of Despair (Chapter 2)
- Pretender to the Throne

Notes:
*Invented Otherwordly Skirmishes and Skirmish Simulacra as a passing fancy. *Creator of Rala Waterways (U), Cirdas Caverns (U), Yorcia Weald (U), and Outer Ra'Kaznar (U). *Possessed Fremilla for a time. *Possesses Malobra at the conclusion of the story.",""
"Balarahb","","Al Zahbi; Periqia","Periqia","Involved in Missions:
- Saving Private Ryaaf","Involved in Missions:
- Saving Private Ryaaf",""
"Balasiel","Quest Giver NPC","San d'Oria; Southern San d'Oria","Southern San d'Oria F-7, the first left turn, after heading up the stairs, at the end of Watchdog Alley.","Starts Quests:
- A Squire's Test
- A Squire's Test II
- A Knight's Test
- Methods Create Madness

Involved in Quests:
- Knight Stalker
- Starlight Celebration 2008
- Starlight Celebration 2010","Starts Quests:
- A Squire's Test
- A Squire's Test II
- A Knight's Test
- Methods Create Madness

Involved in Quests:
- Knight Stalker
- Starlight Celebration 2008
- Starlight Celebration 2010",""
"Bald Aurochs","","Rabao","Rabao G-10","","",""
"Baldric","","Bastok; Metalworks","Metalworks G-9: Darksteel Forge","Starts Quests:
- Stardust","Starts Quests:
- Stardust",""
"Baldric (A)","","Abyssea; Abyssea - Uleguerand Second Outpost","Abyssea - Uleguerand Second Outpost","Starts Quests:
- Look Out Below","Starts Quests:
- Look Out Below",""
"Balgamirob","","Bastok; Zeruhn Mines","Zeruhn Mines K-9","","",""
"Balih Chavizaai","","Kazham","Kazham J-9","","",""
"Balkehr","","Jeuno; Upper Jeuno","Upper Jeuno H-8","","",""
"Ballie, R.K.","Conquest Overseer - San d'Oria Outland Conquest Guard","Outland; San d'Oria; West Ronfaure","West Ronfaure F-12","Notes:
Appears, when Ronfaure is under weekly conquest-control by San d'Oria ;Notes for characters only with San d'Oria as current Allegiance: :*Casts Signet :*Choice of setting Home Point for free :*Recharges Empress Band or Chariot Band :*Accepts Ronfaure Supplies for finishing Supply Quest ;Notes for characters only without San d'Oria as current Allegiance: :*Choice of setting Home Point for a fee - higher prices for higher Allegiance Ranks (Rank 10: 5600 gil) For further information see Conquest Overseer.","Notes:
Appears, when Ronfaure is under weekly conquest-control by San d'Oria ;Notes for characters only with San d'Oria as current Allegiance: :*Casts Signet :*Choice of setting Home Point for free :*Recharges Empress Band or Chariot Band :*Accepts Ronfaure Supplies for finishing Supply Quest ;Notes for characters only without San d'Oria as current Allegiance: :*Choice of setting Home Point for a fee - higher prices for higher Allegiance Ranks (Rank 10: 5600 gil) For further information see Conquest Overseer.",""
"Balrahn Eidolon","Cutscene NPC","Caedarva Mire; Cutscene; Outland","Caedarva Mire","Involved in Quests:
- Forging a New Myth
- Coming Full Circle","Involved in Quests:
- Forging a New Myth
- Coming Full Circle",""
"Balthilda","Standard Merchant","Bastok; Bastok Markets","Bastok Markets F-11 inside ""Brunhilde the Armourer""","","",""
"Bammiro, I.M.","Conquest Overseer","Bastok; Yuhtunga Jungle","Yuhtunga Jungle G-6","Notes:
Appears, when Elshimo Lowlands is under weekly conquest-control by Bastok. ;Notes for characters only with Bastok as current Allegiance: :*Casts Signet :*Choice of setting Home Point for free :*Recharges Emperor Band, Empress Band or Chariot Band :*Accepts Elshimo Lowlands Supplies for finishing Supply Quest ;Notes for characters only without Bastok as current Allegiance: :*Choice of setting Home Point for a fee - higher prices for higher Allegiance Ranks (Rank 10: 5600 gil) For further information see Conquest Overseer.","Notes:
Appears, when Elshimo Lowlands is under weekly conquest-control by Bastok. ;Notes for characters only with Bastok as current Allegiance: :*Casts Signet :*Choice of setting Home Point for free :*Recharges Emperor Band, Empress Band or Chariot Band :*Accepts Elshimo Lowlands Supplies for finishing Supply Quest ;Notes for characters only without Bastok as current Allegiance: :*Choice of setting Home Point for a fee - higher prices for higher Allegiance Ranks (Rank 10: 5600 gil) For further information see Conquest Overseer.",""
"Banege, R.K.","Conquest Overseer","San d'Oria; West Sarutabaruta","West Sarutabaruta K-4","Notes:
Appears, when Sarutabaruta is under weekly conquest-control by San d'Oria ;Notes for characters only with San d'Oria as current Allegiance: :*Casts Signet :*Choice of setting Home Point for free :*Recharges Empress Band or Chariot Band :*Accepts Sarutabaruta Supplies for finishing Supply Quest ;Notes for characters only without San d'Oria as current Allegiance: :*Choice of setting Home Point for a fee - higher prices for higher Allegiance Ranks (Rank 10: 5600 gil) For further information see Conquest Overseer.","Notes:
Appears, when Sarutabaruta is under weekly conquest-control by San d'Oria ;Notes for characters only with San d'Oria as current Allegiance: :*Casts Signet :*Choice of setting Home Point for free :*Recharges Empress Band or Chariot Band :*Accepts Sarutabaruta Supplies for finishing Supply Quest ;Notes for characters only without San d'Oria as current Allegiance: :*Choice of setting Home Point for a fee - higher prices for higher Allegiance Ranks (Rank 10: 5600 gil) For further information see Conquest Overseer.",""
"Banjanu","","Al Zahbi","Al Zahbi G-6, North Gate","","",""
"Bapokk","","Mount Zhayolm; Outland","Mount Zhayolm G-6","Notes:
*Grants access to Alzadaal Undersea Ruins for 1 Imperial Silver Piece","Notes:
*Grants access to Alzadaal Undersea Ruins for 1 Imperial Silver Piece",""
"Baraka","","Northern San d'Oria; San d'Oria","Northern San d'Oria K-10","Involved in Missions:
- Bastok Mission 2-3: The Emissary","Involved in Missions:
- Bastok Mission 2-3: The Emissary",""
"Baran","","Jeuno; Ru'Lude Gardens","Ru'Lude Gardens H-5, Palace Gardens","Involved in Quests:
- Directs you to the crags for Below the Arks.","Involved in Quests:
- Directs you to the crags for Below the Arks.",""
