Type,Count,Status,Suggestion,Sources,Examples
"Goldfish Scooping",6,"review","","legacy_wiki=3; npc=3","Fish Eyes (npc); Kesha Shopehllok (npc); Mei (npc); Fish Eyes (legacy_wiki); Kesha Shopehllok (legacy_wiki); Mei (legacy_wiki)"
"Home Point",6,"review","","item=6","Home Point #3 (item); Home Point #6 (item); Home Point #1 (item); Home Point #5 (item); Home Point #4 (item); Home Point #2 (item)"
"Iron Musketeer",6,"review","","npc=6","Akane, I.M. (npc); Iron Musketeer Commander Krueger (npc); Ortwin, I.M. (npc); Kilian, I.M. (npc); Luise, I.M. (npc); Holger, I.M. (npc)"
"MHMU worker",6,"review","","legacy_wiki=3; npc=3","Skipper Moogle (npc); Moogle (Mog House) (npc); Green Thumb Moogle (npc); Skipper Moogle (legacy_wiki); Moogle (Mog House) (legacy_wiki); Green Thumb Moogle (legacy_wiki)"
"NPC Healer",6,"review","","legacy_wiki=3; npc=3","Cadet Woundpatcher I (npc); Cadet Woundpatcher III (npc); Cadet Woundpatcher II (npc); Cadet Woundpatcher I (legacy_wiki); Cadet Woundpatcher III (legacy_wiki); Cadet Woundpatcher II (legacy_wiki)"
"Official Soul Screener",6,"review","","legacy_wiki=3; npc=3","Ghalizham (npc); Wharoub (npc); Zhashdi (npc); Ghalizham (legacy_wiki); Zhashdi (legacy_wiki); Wharoub (legacy_wiki)"
"Past Event Watcher NPC",6,"review","","legacy_wiki=3; npc=3","Trailmix (npc); Ramblix (npc); Grumblix (npc); Trailmix (legacy_wiki); Ramblix (legacy_wiki); Grumblix (legacy_wiki)"
"Recipe Giver",6,"review","","legacy_wiki=3; npc=3","Fatimah (npc); Ulrike (npc); Wulfnoth (npc); Fatimah (legacy_wiki); Wulfnoth (legacy_wiki); Ulrike (legacy_wiki)"
"Royal Knight",6,"review","","npc=6","Guilerme (A) (npc); Noillurie (npc); Royal Knight General Cousseraux (npc); Lord Fainevlure Ordelle (npc); Rainemard (npc); Praefactus Leonnel (npc)"
"Temple Knight",6,"review","","npc=6","Hostarfaux, T.K. (npc); Dynause, T.K. (npc); Darvylle (npc); Rouquillot, T.K. (npc); Temple Knight General Brunnaut (npc); Yaibroux, T.K. (npc)"
"Appraiser",5,"review","","legacy_wiki=2; npc=3","Chochoroon (npc); Memeroon (npc); Drahbah (npc); Chochoroon (legacy_wiki); Memeroon (legacy_wiki)"
"Avatar Quest",5,"review","","npc=5","Ferrol (npc); Castilchat (npc); Gulmama (npc); Ronta-Onta (npc); Juroro (npc)"
"Corsair Quest",5,"review","","npc=5","Watzahl (npc); Aznahf (npc); Imutira (npc); Qultada (npc); Mutihb (npc)"
"Guide",5,"review","","legacy_wiki=5","Chaquoillons (legacy_wiki); Pollante (legacy_wiki); Cyphaireau (legacy_wiki); Faboise (legacy_wiki); Joilevin (legacy_wiki)"
"Item Depository",5,"review","","npc=5","Poudoruchant (npc); Olaky-Yayulaky (npc); Garridan (npc); Gallagher (npc); Jarafah (npc)"
"Mog Garden Assistant",5,"review","","legacy_wiki=3; npc=2","Yeestog (npc); Susuroon (npc); Yeestog (legacy_wiki); Chacharoon (legacy_wiki); Susuroon (legacy_wiki)"
"NPC Happy New Year 2014",5,"review","","legacy_wiki=5","Joyous Alicorn (legacy_wiki); Giddy Sleipnir (legacy_wiki); Goblin Year-ringer (legacy_wiki); Joyful Alicorn (legacy_wiki); Jubilant Alicorn (legacy_wiki)"
"Travel Guide",5,"review","","npc=5","Chaquoillons (npc); Pollante (npc); Cyphaireau (npc); Faboise (npc); Joilevin (npc)"
"Tutorial",5,"review","","item=1; npc=4","Gulldago (npc); Aja-Panja (npc); Selele (npc); Alaune (npc); Chat Manual (item)"
"Unity Concord",5,"review","","npc=5","Yonolala (npc); Teldro-Kesdrodo (npc); Igsli (npc); Urbiolaine (npc); Nunaarl Bthtrogg (npc)"
"Unity Concord NPC",5,"review","","legacy_wiki=5","Yonolala (legacy_wiki); Teldro-Kesdrodo (legacy_wiki); Igsli (legacy_wiki); Urbiolaine (legacy_wiki); Nunaarl Bthtrogg (legacy_wiki)"
"Abyssea Quest",4,"review","","npc=4","Bopa Greso (A) (npc); Hungry Wolf (A) (npc); Kuoh Rhel (A) (npc); Rondipur (A) (npc)"
"Ahtapot Guide",4,"review","","npc=4","Zshahda (npc); Walagarim (npc); Zawahf (npc); Bhjaama (npc)"
"Ark Angel",4,"review","","npc=4","Ark Angel EV (npc); Ark Angel TT (npc); Ark Angel HM (npc); Ark Angel GK (npc)"
"Auction House (Nashmau)",4,"review","","legacy_wiki=4","Nanaroon (legacy_wiki); Momoroon (legacy_wiki); Pupuroon (legacy_wiki); Neneroon (legacy_wiki)"
"Bastok Gate Guard",4,"review","","legacy_wiki=4","Rashid (legacy_wiki); Argus (NPC) (legacy_wiki); Cleades (legacy_wiki); Malduc (legacy_wiki)"
"Battle",4,"review","","npc=4","Federation Infantry (npc); Valaineral R Davilles (npc); Federation Garrison (npc); Noble Warrior (npc)"
"Battle NPC",4,"review","","legacy_wiki=4","Federation Infantry (legacy_wiki); Valaineral R Davilles (legacy_wiki); Federation Garrison (legacy_wiki); Noble Warrior (legacy_wiki)"
"Battlecage Registrar",4,"review","","legacy_wiki=2; npc=2","Rayeewa (npc); Salyadh (npc); Rayeewa (legacy_wiki); Salyadh (legacy_wiki)"
"Blue Command Platform Guard",4,"review","","legacy_wiki=4","Ghadjuyan (legacy_wiki); Zhayard (legacy_wiki); Wahrouzam (legacy_wiki); Hamgahn (legacy_wiki)"
"Campaign Knight",4,"review","","npc=4","Royal Knight (npc); Temple Knight (npc); Norvallen Knight (npc); Aragoneu Knight (npc)"
"Campaign Ops NPC",4,"review","","legacy_wiki=4","Hieronymus (legacy_wiki); Emhi Tchaoryo (legacy_wiki); Rasdinice (legacy_wiki); Mariette (legacy_wiki)"
"Chocobo Breeder",4,"review","","legacy_wiki=2; npc=2","Galloping Chocobo (npc); Gonija (npc); Galloping Chocobo (legacy_wiki); Gonija (legacy_wiki)"
"Chocobo Guide",4,"review","","npc=4","Bashraf (npc); Bwi Kaghonsa (npc); Foudeel (npc); Wahboud (npc)"
"Conquest Overseer - Jeuno Conquest Guard",4,"review","","legacy_wiki=4","Alrauverat (legacy_wiki); Kochahy-Muwachahy (legacy_wiki); Emitt (legacy_wiki); Morlepiche (legacy_wiki)"
"Conquest Troupe",4,"review","","npc=4","Cheh Raihah (npc); Mokop-Sankop (npc); Nalta (npc); Dahjal (npc)"
"Consulate Representative NPC",4,"review","","legacy_wiki=4","Helaku (legacy_wiki); Kasaroro (legacy_wiki); Galahad (legacy_wiki); Mourices (legacy_wiki)"
"Crafter Points",4,"review","","npc=4","Yek Falimeygo (npc); Wolden-Bolden (npc); Tergil (npc); Luren (npc)"
"Cut Scene NPC",4,"review","","legacy_wiki=4","Audia (legacy_wiki); Albrecht (legacy_wiki); Alista (legacy_wiki); Leaute (legacy_wiki)"
"Cutscene NPC / Adventuring Fellow",4,"review","","legacy_wiki=4","Gadzradd (legacy_wiki); Da'Vhu (legacy_wiki); Choplix (legacy_wiki); Tsoo Haja the Umbra (legacy_wiki)"
"Dialogue",4,"review","","npc=4","Tovrutaux (npc); Kikilolo (npc); Venika (npc); Seyaya (npc)"
"Domain Invasion",4,"review","","npc=4","Zurim (npc); Djahama (npc); Kudjreel (npc); Yanshaal (npc)"
"ENM",4,"review","","legacy_wiki=2; npc=2","Jakaka (npc); Gregory (npc); Jakaka (legacy_wiki); Gregory (legacy_wiki)"
"Event Reward",4,"review","","npc=4","Proctor Moogle (npc); Festive Moogle (npc); Syu Befrathi (S) (npc); Erudite Moogle (npc)"
"Festival Dancer",4,"review","","npc=4","Jayleilei (npc); Copuwawa (npc); Dayaka-Botanyuka (npc); Congee-Toyangee (npc)"
"Fishing NPC",4,"review","","npc=4","Polih Rejonah (npc); Feathered Foe (npc); Leppi-Rippi (npc); Claraisse (npc)"
"Linkshell Distributor",4,"review","","legacy_wiki=1; npc=3","Paunelie (npc); Ilita (npc); Linkshell Concierge (npc); Ilita (legacy_wiki)"
"Map Quest",4,"review","","npc=4","Antreneau (npc); Chalvatot (npc); Gudav (npc); Chipmy-Popmy (npc)"
"Mission Giver",4,"review","","npc=4","Puo Rhen (npc); Naja Salaheem (npc); Endracion (npc); Tih Pikeh (npc)"
"Quest Starter NPC",4,"review","","legacy_wiki=4","Nivorajean (legacy_wiki); Ferchinne (legacy_wiki); Romeo (legacy_wiki); Vuntar (legacy_wiki)"
"Red Command Platform Guard",4,"review","","legacy_wiki=4","Djiahlm (legacy_wiki); Walzharn (legacy_wiki); Habhayam (legacy_wiki); Sazahlam (legacy_wiki)"
"Windurst Gate Guard",4,"review","","legacy_wiki=4","Janshura-Rashura (legacy_wiki); Mokyokyo (legacy_wiki); Zokima-Rokima (legacy_wiki); Rakoh Buuma (legacy_wiki)"
"Arena Announcer",3,"review","","npc=3","Doel-Demiel (npc); Juvenal (npc); Flapping Gums (npc)"
"Artifact Quest",3,"review","","npc=3","Jerra Ndala (npc); Borghertz (npc); Wescolina (npc)"
"Barge Ticket",3,"review","","npc=3","Cofisephe (npc); Echanie (npc); Coupulie (npc)"
"Barge Ticket NPC",3,"review","","legacy_wiki=3","Cofisephe (legacy_wiki); Echanie (legacy_wiki); Coupulie (legacy_wiki)"
"CS NPC",3,"review","","legacy_wiki=3","Mawl'gofaur (legacy_wiki); Kareh'ayollio (legacy_wiki); Zonpa-Zippa (legacy_wiki)"
"Campaign Allegiance",3,"review","","npc=3","Fridolin (npc); Houilloumie (npc); Mhoti Pyiahrs (npc)"
"Campaign Hero",3,"review","","npc=3","Yrvaulair S Cousseraux (npc); Mieuseloir B Enchelles (npc); Ashmea B Greinner (npc)"
"Campaign Hero NPC",3,"review","","legacy_wiki=3","Yrvaulair S Cousseraux (legacy_wiki); Mieuseloir B Enchelles (legacy_wiki); Ashmea B Greinner (legacy_wiki)"
"Chocobo Circuit",3,"review","","legacy_wiki=1; npc=2","Ove (npc); Amaduralle (npc); Amaduralle (legacy_wiki)"
"City Gate Guard",3,"review","","npc=3","Mafwahb (npc); Arzizah (npc); Zarfhid (npc)"
"Cobra Commander",3,"review","","npc=3","Romaa Mihgo (npc); Romaa Mihgo (A) (npc); Romaa Mihgo (S) (npc)"
"Conquest Overseer - Windurst National Conquest Guard",3,"review","","legacy_wiki=3","Milma-Hapilma, W.W. (legacy_wiki); Puroiko-Maiko, W.W. (legacy_wiki); Harara, W.W. (legacy_wiki)"
"Cutscene NPC, Mission Boss",3,"review","","legacy_wiki=3","Ark Angel MR (legacy_wiki); Shikaree Y (legacy_wiki); Shikaree X (legacy_wiki)"
"Cutscene, Mission Boss",3,"review","","npc=3","Ark Angel MR (npc); Shikaree Y (npc); Shikaree X (npc)"
"Cutscene/Summoned Avatar",3,"review","","npc=3","Fenrir (npc); Diabolos (npc); Carbuncle (npc)"
"ENM Quest",3,"review","","npc=3","Morangeart (npc); Twinkbrix (npc); Zebada (npc)"
"Escort Quest",3,"review","","npc=3","Rondipur (npc); Olavia (npc); Marin (npc)"
"Event Sideshow NPC",3,"review","","legacy_wiki=3","Rokor-Makor (legacy_wiki); Klaas (legacy_wiki); Estiliphire (legacy_wiki)"
"Fishing Quest",3,"review","","npc=3","Joulet (npc); Gallijaux (npc); Zaldon (npc)"
"Guild Craftsman NPC",3,"review","","legacy_wiki=3","Ronana (legacy_wiki); Kyaa Taali (legacy_wiki); Lih Pituu (legacy_wiki)"
"Harvest Festival NPC (Dark Lilies subevent)",3,"review","","legacy_wiki=3","Brian (legacy_wiki); Roger (legacy_wiki); Gertrude (legacy_wiki)"
"Immigration",3,"review","","npc=3","Mythily (npc); Beriphaule (npc); Rakano-Marukano (npc)"
"Imp Scout",3,"review","","npc=3","Rakke (npc); Rikke (npc); Rokke (npc)"
"Lore NPC",3,"review","","npc=3","Kupulele (npc); Kupold (npc); Kupeliont (npc)"
"Master Caster",3,"review","","npc=3","Aquarian Master Caster Kayeel-Payeel (npc); Capricornian Master Caster Zonpa-Zippa (npc); Ariesan Master Caster Lutete (npc)"
"Meeble Burrows",3,"review","","npc=3","Burrow Investigator (npc); Burrow Researcher (npc); Vrednev (npc)"
"Periapt of Clarity.",3,"review","","npc=3","Gushing Spring (npc); Hildegard (npc); Kieran (npc)"
"Quest giver NPC",3,"review","","legacy_wiki=3","Gurren-Murren (legacy_wiki); Fallion (legacy_wiki); Chelidoine (legacy_wiki)"
"Rhinostery Minister",3,"review","","npc=3","Iru-Kuiru (npc); Yoran-Oran (npc); Yoran-Oran (S) (npc)"
"Royal Guard",3,"review","","npc=3","Royal Banneret (npc); Royal Guard (npc); Royal Guard General Davilles (npc)"
"San d'Orian Gate Guard",3,"review","","legacy_wiki=3","Endracion (legacy_wiki); Ambrotien (legacy_wiki); Grilau (legacy_wiki)"
"Sealed Container",3,"review","","npc=3","Kevan (npc); Lurouillat (npc); Pogigi (npc)"
"Sealed Container NPC",3,"review","","legacy_wiki=3","Kevan (legacy_wiki); Lurouillat (legacy_wiki); Pogigi (legacy_wiki)"
"Sigil",3,"review","","npc=3","Millard, I.M. (npc); Miliart, T.K. (npc); Mindala-Andola, C.C. (npc)"
"Starlight Event",3,"review","","npc=3","Acacia (npc); Iya Rihyo (npc); Goblin Merrymaker (npc)"
"Survey",3,"review","","npc=3","Palardaifault V Draffles (npc); Isabella (npc); Kuron-Makaron (npc)"
"Survey NPC",3,"review","","legacy_wiki=3","Palardaifault V Draffles (legacy_wiki); Isabella (legacy_wiki); Kuron-Makaron (legacy_wiki)"
"Synthesis Image Support NPC",3,"review","","legacy_wiki=3","Tek Lengyon (legacy_wiki); Kipopo (legacy_wiki); Amarefice (legacy_wiki)"
"Transportation",3,"review","","legacy_wiki=1; npc=2","North Plaza (npc); Mog Dinghy (npc); Mog Dinghy (legacy_wiki)"
"Voidwatch",3,"review","","npc=3","Camille (npc); Voidwatch Officer (npc); Owain (npc)"
"Weather Reporter NPC",3,"review","","legacy_wiki=3","Maleme (legacy_wiki); Appollonia (legacy_wiki); Wachiwi (legacy_wiki)"
"Wedding event NPC.",3,"review","","npc=3","Cloud Walker (npc); Pompi-Rompi (npc); Rembard (npc)"
"World Pass",3,"review","","npc=3","Kachada (npc); Ambleon (npc); Gamimi (npc)"
"Adventurer's Helper",2,"review","","legacy_wiki=1; npc=1","Muji Tsalahn (npc); Muji Tsalahn (legacy_wiki)"
"Adventurers' Mutual Aid Network",2,"review","","npc=2","Elijah (npc); Greyson (npc)"
"Adventurers' Mutual Aid Network NPC",2,"review","","legacy_wiki=2","Elijah (legacy_wiki); Greyson (legacy_wiki)"
"Alchemy Advanced Synthesis Image Support NPC",2,"review","","legacy_wiki=2","Azima (legacy_wiki); Sulbahn (legacy_wiki)"
"Alchemy Synthesis Image Support & recipe review NPC",2,"review","","legacy_wiki=2","Sieglinde (legacy_wiki); Shahau (legacy_wiki)"
"Alchemy Synthesis Image Support NPC",2,"review","","legacy_wiki=2","Titus (legacy_wiki); Hadayah (legacy_wiki)"
"Allied Campaign Assessment",2,"review","","legacy_wiki=1; npc=1","Waldemar, I.M. (npc); Waldemar, I.M. (legacy_wiki)"
"Allied Campaign Info",2,"review","","legacy_wiki=1; npc=1","Soimin-Oimin, C.C. (npc); Soimin-Oimin, C.C. (legacy_wiki)"
"Allied Notes NM Proprietor",2,"review","","npc=2","Thirkell (npc); Scotwick (npc)"
"Allied Notes Notorious Monster Proprietor",2,"review","","legacy_wiki=2","Thirkell (legacy_wiki); Scotwick (legacy_wiki)"
"Artifact NPC",2,"review","","legacy_wiki=2","Jerra Ndala (legacy_wiki); Wescolina (legacy_wiki)"
"Assault Officer",2,"review","","npc=2","Bhoy Yhupplo (npc); Halshaob (npc)"
"Atarefaunet's Band",2,"review","","npc=2","Chepelle (npc); Kanika (npc)"
"Attendant",2,"review","","legacy_wiki=1; npc=1","Raquel (npc); Raquel (legacy_wiki)"
"Augment NPC",2,"review","","legacy_wiki=1; npc=1","Detrovio (npc); Divainy-Gamainy (legacy_wiki)"
"Automaton Attachment Assistant",2,"review","","legacy_wiki=1; npc=1","Tateeya (npc); Tateeya (legacy_wiki)"
"Barge Schedule",2,"review","","npc=2","Laiteconce (npc); Luquillaue (npc)"
"Bastion Defender",2,"review","","npc=2","Bastion Fighter (npc); Bastion Mage (npc)"
"Battle Cry.",2,"review","","npc=2","Feldrautte I Rouhent (npc); Laisavie X Berlends (npc)"
"Beastmaster Unlock",2,"review","","npc=2","Brutus (npc); Dietmund (npc)"
"Camp Leader",2,"review","","legacy_wiki=1; npc=1","Excenmille (A) (npc); Excenmille (A) (legacy_wiki)"
"Campaign Information",2,"review","","npc=2","Hinrich (npc); Voucheramme (npc)"
"Campaign Officer",2,"review","","npc=2","Rholont (npc); Lharant (npc)"
"Campaign Structure",2,"review","","npc=2","Cantonment (npc); Fortilace (npc)"
"Carnage Battlecage Registrar",2,"review","","legacy_wiki=1; npc=1","Tadeewa (npc); Tadeewa (legacy_wiki)"
"Carnage Cage Fight Announcer",2,"review","","legacy_wiki=1; npc=1","Pihk Khalatikal (npc); Pihk Khalatikal (legacy_wiki)"
"Caster",2,"review","","npc=2","Popochu (npc); Papako (npc)"
"Chateau Guard",2,"review","","npc=2","Bacherume (npc); Guilerme (npc)"
"Chocobo Circuit Attendant",2,"review","","legacy_wiki=1; npc=1","Palson (npc); Palson (legacy_wiki)"
"Chocobo Circuit Promenade Assistant",2,"review","","legacy_wiki=1; npc=1","Reinwald (npc); Reinwald (legacy_wiki)"
"Chocobo Raising",2,"review","","npc=2","Kiria-Romaria (npc); Arvilauge (npc)"
"Chocobo Raising NPC",2,"review","","legacy_wiki=2","Kiria-Romaria (legacy_wiki); Arvilauge (legacy_wiki)"
"Conquest Overseer - Bastok Foreign Conquest Guard",2,"review","","legacy_wiki=2","Yevgeny, I.M. (legacy_wiki); Sachetan, I.M. (legacy_wiki)"
"Consulate",2,"review","","item=2","Door:Jeunoan Consul (item); Door:Bastokan Consul (item)"
"Crafter Points Administrator",2,"review","","legacy_wiki=2","Yek Falimeygo (legacy_wiki); Wolden-Bolden (legacy_wiki)"
"Crystal Exchange",2,"review","","catseye_npc=1; item=1","Crystal Crunch (catseye_npc); Crystal Crunch (item)"
"Crystal War Quest",2,"review","","npc=2","Offa (S) (npc); Tosuka-Porika (S) (npc)"
"Dragonslayer Intro",2,"review","","catseye_item=1; npc=1","Valsang (npc); Pile of Stones (catseye_item)"
"Dragoon Unlock",2,"review","","npc=2","Arminibit (npc); Morjean (npc)"
"ENM Quest Activator",2,"review","","legacy_wiki=2","Morangeart (legacy_wiki); Twinkbrix (legacy_wiki)"
"ENM Timer",2,"review","","npc=2","Istvan (npc); Moritz (npc)"
"Ethereal Ingress",2,"review","","npc=2","Incantrix (npc); Coelestrox (npc)"
"Fast Travel Quest",2,"review","","npc=2","Faursel (npc); Ohbiru-Dohbiru (npc)"
"Ferry Travel",2,"review","","npc=2","Tazhaal (npc); Felisa (npc)"
"Field Encampment",2,"review","","npc=2","Alrauverat (A) (npc); Red Ghost (A) (npc)"
"Fisherman's Guild Master",2,"review","","legacy_wiki=1; npc=1","Thubu Parohren (npc); Thubu Parohren (legacy_wiki)"
"Fishing Guide",2,"review","","npc=2","Jakaka (A) (npc); Pattel-Bacchel (npc)"
"Fortune Teller",2,"review","","npc=2","Pherchabalet (npc); Pelinvarde (npc)"
"Free Synthesis Image Support NPC :*Culinarians' Guild",2,"review","","legacy_wiki=2","Hakeem (legacy_wiki); Jacodaut (legacy_wiki)"
"Game NPC",2,"review","","npc=2","Varchet (npc); Pellio (npc)"
"Guild Master NPC",2,"review","","legacy_wiki=2","Peshi Yohnts (legacy_wiki); Ponono (legacy_wiki)"
"Guildworker's Union",2,"review","","legacy_wiki=2","Ellard (legacy_wiki); Lorena (legacy_wiki)"
"Halloween Event",2,"review","","catseye_npc=1; npc=1","Decrepit S. Lord (catseye_npc); Lady Lilith (npc)"
"Happy New Year 2007 NPC",2,"review","","legacy_wiki=2","Pyru-Copyru (legacy_wiki); Bunta (legacy_wiki)"
"Historical Figure",2,"review","","npc=2","Clavauert B Chanoix (npc); August Adoulin (npc)"
"Immigration NPC",2,"review","","legacy_wiki=2","Mythily (legacy_wiki); Rakano-Marukano (legacy_wiki)"
"Imperial Guard",2,"review","","npc=2","Immortal Guard (npc); Imperial Trooper (npc)"
"Imperial Standing",2,"review","","legacy_wiki=1; npc=1","Nabihwah (npc); Nabihwah (legacy_wiki)"
"Ionis",2,"review","","npc=2","Fleuricette (npc); Quiri-Aliri (npc)"
"Knight",2,"review","","npc=2","Travialce (npc); Squire Knight (npc)"
"Lebros Assault",2,"review","","npc=2","Waudeen (npc); Famad (npc)"
"Limbus Entry",2,"review","","npc=2","Apollyon Furnace (npc); Temenos Furnace (npc)"
"Limbus Guide",2,"review","","npc=2","Temenos Operator (npc); Apollyon Operator (npc)"
"Limit Break",2,"review","","npc=2","Maat (npc); Vingijard (npc)"
"Livestock",2,"review","","legacy_wiki=1; npc=1","Little Sheep (npc); Little Sheep (legacy_wiki)"
"Lucky Roll",2,"review","","npc=2","Mileon (npc); Repat (npc)"
"Lucky Roll Gambler",2,"review","","legacy_wiki=2","Mileon (legacy_wiki); Repat (legacy_wiki)"
"Mamool Assault",2,"review","","npc=2","Daswil (npc); Isdebaaq (npc)"
"Mentor Recruiter",2,"review","","npc=2","Kopua-Mobua (npc); Emeige A.M.A.N. (npc)"
"Military Information",2,"review","","npc=2","Helga (npc); Esmallegue (npc)"
"Military Officer",2,"review","","npc=2","Wolfgang (npc); Brandolf (npc)"
"Mission Associate",2,"review","","npc=2","Baraka (npc); Chasalvige (npc)"
"Mission Boss",2,"review","","legacy_wiki=1; npc=1","Shikaree Z (npc); Shikaree Z (legacy_wiki)"
"Mog Locker Administrator",2,"review","","legacy_wiki=1; npc=1","Fubruhn (npc); Fubruhn (legacy_wiki)"
"MogHouse Watcher",2,"review","","legacy_wiki=1; npc=1","Abby Jalunshi (npc); Abby Jalunshi (legacy_wiki)"
"Moghouse Renter",2,"review","","legacy_wiki=1; npc=1","Zhamwaa (npc); Zhamwaa (legacy_wiki)"
"Monster Registration",2,"review","","legacy_wiki=1; npc=1","Kaheema (npc); Kaheema (legacy_wiki)"
"NPC Happy New Year 2003",2,"review","","legacy_wiki=2","Ake (legacy_wiki); Ome (legacy_wiki)"
"NPC VCS Chocobo Racing Associate",2,"review","","legacy_wiki=1; npc=1","Chualulu (npc); Chualulu (legacy_wiki)"
"Nanaa Mihgo Gang",2,"review","","npc=2","Cha Lebagta (npc); Bopa Greso (npc)"
"Nyzul Assault",2,"review","","npc=2","Shahayl (npc); Sorrowful Sage (npc)"
"Orc Warmachine",2,"review","","npc=2","??? Warmachine (S) (npc); ??? Warmachine (npc)"
"Passage Guard",2,"review","","npc=2","Gottna (npc); Qahzwin (npc)"
"Peacekeeper Coalition",2,"review","","legacy_wiki=1; npc=1","Ujlei Zelekko (npc); Ujlei Zelekko (legacy_wiki)"
"Peacekeepers' Coalition reward bayld vendor NPC",2,"review","","legacy_wiki=1; npc=1","Craggy Bluff (npc); Craggy Bluff (legacy_wiki)"
"Periqia Assault",2,"review","","npc=2","Lageegee (npc); Nahshib (npc)"
"President",2,"review","","npc=2","Hrichter Karst (npc); Karst (npc)"
"Puppet Name Changer",2,"review","","legacy_wiki=1; npc=1","Abda-Lurabda (npc); Abda-Lurabda (legacy_wiki)"
"Quest Reward",2,"review","","npc=2","Zuber (npc); Ponono (S) (npc)"
"Residence",2,"review","","item=2","Door:Count's Manor (item); Door:House (item)"
"Resistance Fighter",2,"review","","npc=2","Resistance Sapper (npc); Resistance Fighter (npc)"
"Ruins Access",2,"review","","npc=2","Nuimahn (npc); Bapokk (npc)"
"Scholar",2,"review","","npc=2","Lutia (npc); Catalia (npc)"
"Seasonal Event",2,"review","","npc=2","Chigoe (NPC) (npc); Flasco-Rasco (npc)"
"Sheep",2,"review","","npc=2","Mee (npc); Baa (npc)"
"Sheep NPC",2,"review","","legacy_wiki=2","Mee (legacy_wiki); Baa (legacy_wiki)"
"Star Sibyl",2,"review","","npc=2","Star Sibyl (S) (npc); Star Sibyl (npc)"
"Summoner Warp",2,"review","","npc=2","Lacia (npc); Rahi Fohlatti (npc)"
"Title Changer NPC",2,"review","","legacy_wiki=2","Debadle-Levadle (legacy_wiki); Yulon-Polon (legacy_wiki)"
"Warp Guide",2,"review","","npc=2","Vaihilique (npc); Mediverchanne (npc)"
"Wedding Outfitter",2,"review","","legacy_wiki=1; npc=1","Modiste (npc); Modiste (legacy_wiki)"
"Wyvern Name Changer",2,"review","","legacy_wiki=1; npc=1","Fouvia (npc); Fouvia (legacy_wiki)"
": Circuit NPCs",1,"review","","legacy_wiki=1","Michaela (legacy_wiki)"
"ANNM Coordinator",1,"review","","npc=1","Keenan (npc)"
"Abdhaljs Isle-Purgonorgo Officer;NPC",1,"review","","legacy_wiki=1","Afdeen (legacy_wiki)"
"Adopted Son",1,"review","","npc=1","Leodarion (npc)"
"Adoulin Reward NPC",1,"review","","legacy_wiki=1","Reja Ygridhi (legacy_wiki)"
"Advanced Synthesis Image Support NPC :*Culinarians' Guild",1,"review","","legacy_wiki=1","Kipo-Opo (legacy_wiki)"
"Advanced synthesis image support NPC :*Clothcraft Guild",1,"review","","legacy_wiki=1","Terude-Harude (legacy_wiki)"
"Adventurer Assistant",1,"review","","legacy_wiki=1","Alert Gaze (legacy_wiki)"
"Adventurer Assistant NPC",1,"review","","legacy_wiki=1","Nazar (legacy_wiki)"
"Adventurer Assistent",1,"review","","legacy_wiki=1","Kuhn Tsahnpri (legacy_wiki)"
"Adventurer's Assistant - Food Effect Remover",1,"review","","legacy_wiki=1","Parike-Poranke (legacy_wiki)"
"Adventurer's Assistant - Mercenary Rank",1,"review","","legacy_wiki=1","Abquhbah (legacy_wiki)"
"Agency Guard",1,"review","","npc=1","Jumaaf (npc)"
"Aht Urhgan Whitegate Gate",1,"review","","legacy_wiki=1","Ove (legacy_wiki)"
"Airship Information Giver",1,"review","","legacy_wiki=1","Bodaway (legacy_wiki)"
"Ambuscade",1,"review","","npc=1","Gorpa-Masorpa (npc)"
"Ammunition Recovery",1,"review","","npc=1","Munitions Moogle (npc)"
"Anaconda Mercenary",1,"review","","npc=1","Anaconda Mercenary Major Vashai (npc)"
"Annihilation Cage Fight Announcer",1,"review","","legacy_wiki=1","Doel-Demiel (legacy_wiki)"
"Anti-Cheat NPC",1,"review","","npc=1","Read me (npc)"
"Appraiser NPC",1,"review","","legacy_wiki=1","Drahbah (legacy_wiki)"
"Arena Guard",1,"review","","npc=1","Yeggha Dolashi (npc)"
"Artifact Hands NPC",1,"review","","legacy_wiki=1","Borghertz (legacy_wiki)"
"Artifact Upgrades",1,"review","","npc=1","Monisette (npc)"
"Aspiring Musketeer",1,"review","","npc=1","Ken (npc)"
"Assault Azouph Isle NPC",1,"review","","legacy_wiki=1","Nareema (legacy_wiki)"
"Assault Ilrusi Atoll NPC",1,"review","","legacy_wiki=1","Meyaada (legacy_wiki)"
"Assault Lebros Cavern NPC",1,"review","","legacy_wiki=1","Waudeen (legacy_wiki)"
"Assault Mamool Ja Training Grounds NPC",1,"review","","legacy_wiki=1","Daswil (legacy_wiki)"
"Assault Mission Giver NPC: Ilrusi Atoll",1,"review","","legacy_wiki=1","Bhoy Yhupplo (legacy_wiki)"
"Assault Mission Giver NPC: Lebros Cavern",1,"review","","legacy_wiki=1","Famad (legacy_wiki)"
"Assault Mission Giver NPC: Leujaoam Sanctum",1,"review","","legacy_wiki=1","Yahsra (legacy_wiki)"
"Assault Mission Giver NPC: Mamool Ja Training Grounds",1,"review","","legacy_wiki=1","Isdebaaq (legacy_wiki)"
